interpreter scholar;artist
esforça is force;as for
tharpe's throes;tarps
perfeita perfest;perfidy
haltingly gradually;nonchalantly
pathos emotion;passion
anatolian entailing;italian
inciting urge;abet
foolish insane;crazy
accoutrements ordnance;artillery
burman bemoan;burn
havanah havanas;having
'victorianisms' 
megamanx make amends;monomaniacs
bolha blah;bolas
musculature muscled;musicalities
rehearsed hone;recite
spoonfuls shot;measurement
artimisia at times;atms
resevoir reseve;re seve
joffé coffee;coffer
ingratiatingly obediently;subserviently
furball furbelow;fable
desousa despise;desirous
devereux forex;beverages
pantreyei panderer;pandered
winkimation's 
exaggeratedly decidedly;particularly
hamill hail;hall
dublagem ballgame;doubleedged
filmographic 
boogaloo boggle;bugaboo
vehemence fervor;fierceness
inspiring heartening;encouraging
rossetti's russets;roasters
zoey's zots;ceos
purrs sound;sing
econoline on line;on-line
speedball sugar;crack
shenanigans misbehavior;naughtiness
cara cars;car
â  ah;ai
orangutans baboon;ape
greg grog;grew
acutely severely;suddenly
20080 $.25;10 4
mcgonagle making clear;making call
burros ass;jackass
schmitzer schmooze;scimiters
catatonic comatose;confused
atthem athome;at home
yeom tom;yen
extension delay;increase
starves quit;renounce
sedatives calming;anodyne
jasons gascons;japans
slots niche;space
gostaria gastric;go astray
certifiable hysterical;demented
scipt spite;spot
magnifies aggravate;deepen
somnambulists 
exectution expectation;execration
carga cage;gaga
tracie trice;truce
henley's heelers;hurleys
forcefulness vigor;strength
spreader spreed;speeder
murry merry;miry
edible succulent;tasty
chicagocop shock jock;shock jocks
flights shuttle;arrival
call's cals;callous
entranced bewitch;fascinate
whipped strapped;punished
aproveitando improvident;are evident
ucla's class;claws
nakadai nada;naiad
tokyo took to;token
purview impression;concept
hiroku heroic;haiku
gerries jerries;berries
jingles clatter;clink
mobsters crook;hooligan
monahans monsoons;moanings
sadean sadden;satan
romcoms remakes;remarks
fashioned intended;shaped
narcissistically 
collin call in;calling
parkway entrance;boulevard
endears captivate;cherish
notgr noter;not got
grouch malcontent;sorehead
crudest boorish;indecent
mf mg;ma
buttafuoco beatific;auto focu
recovered returned;replaced
behari beware;by hair
lucaitis localities;luxates
machesney marchens;marches on
tiramisu trismus;dioramas
greer greet;greyer
schtook schnook;schticks
headline caption;title
representa pictorial;descriptive
coulter's counters;colluders
balloo ball;ballot
obv obi;opv
podía pod;po'd
aswonderful is needful;is wasteful
lavishes generous;bountiful
washinton washingtons;wanton
babson basin;bison
deluise dulse;delude
morley mole;mile
carrega carrel;crag
jail's ails;jaileds
'face facer;farce
recognised re cognized;re-cognized
charles's hairless;chargeless
swaggers sashay;strut
ja district attorney;public prosecutor
dickensian dimension;dissension
communion intimacy;rapport
740il oil;s & l
sailormoon saloon;solemn
'innocuous' in nocuous;in-nocuous
galvanized shock;energize
strayer homeless;roaming
orangapoid ironjawed;ironclad
pretentiousness grandiosity;pompousness
6222 10 4;10-4
cupping chance;portion
hungered eager;keen
fomenting brew;incite
geezers fuddy-duddy;square
socialism' socialist;socials
swan`s wans;wanes
neonazi nazi;ponzi
'really rally;relay
tackling begin;take up
release discharge;clemency
tarri tare;taro
overemoting over eating;over-eating
eat's e t s;e.t.s
mingella mineral;mingled
caóticos critics;calicoes
u03c5 w.c.;u.s.
surfing's serving as;servings
incidently incidentally;incident
'partha paths;pariah
wiff wife;biff
reveladores revolters;revolutes
belsen baleen;belies
hardspoken outspoken;short spoken
patter chatter;tap
characteristic innate;singular
sunburned brown;burned
perfromances perf;executed
cow' cow;c.w.
owe incur;lost
harlem's hales;harms
durenmatt reanimate;drunkard
achieve' achiever;achieved
nuns sister;vestal
socialmente settlement;supplement
seki semi;skein
valdemort veldt;walter mitty
'waitin' whiting;wait on
betterââ betray;battery
habitable livable;cozy
`action' auction;actions
persepolis de-spoils;percepts
pookal portal;pickle
misjustice misquotes;mosquitoes
inkansas injuns;on canvas
'scare' scarier;scary
vendors merchant;peddler
shaun's chains;shines
doritos dorados;drats
guyâhis gees whiz;gee whiz
shortat shot at;shoot at
futureâmore 
'lady lardy;lad
jun hun;gun
pepe's peepees;peepers
accentuates highlight;emphasize
morto mort;moot
discirnable disenable;dis enable
ah exclamation;wow
rountines tontines;roundness
nuveau nevi;never
unimportant worthless;insignificant
nyla bylaw;null
fountainhead originator;administrator
catered gratify;humor
poorest underprivileged;poverty-stricken
outclassed beat;outperform
sus uss;suds
tribunesan trains in;trouncing
hayne hen;hun
sophisticates corrupt;degrade
demands claim;requirement
rep's ripes;re pose
jetsetting itinerant;vagrant
lowlier humble;average
extinction annihilation;elimination
arenas square;stadium
'munchausen' munching;munchings
isd is;sd
bette butte;bettor
elitists highbrow;stiff
hitchcockometer 
hailey's hairless;hurleys
magnificiant making vacant;making evident
inquiry audit;search
wodehouses' lord houses;gatehouses
kabala pietism;spiritualism
melies males;moles
mas grandmother;parent
breathiness breathless;breathing easy
doodie doodle;doobie
flog chastise;spank
feeders rancher;peasant
xx ex;fx
granger's granger;rangers
weakspot weak-spot;fatal flaw
close's closest;closed
pensionable pension;punchinello
sorriest apologetic;touched
interacial inter racial;inter-racial
misa mis;mesa
dependable sturdy;steady
bussey busy;bosey
veeeeeeeery venery;veneer
arrogance chutzpah;pretension
blinkin blanking;linking
falon fall on;flan
joing jing;join
mindblowing astonishing;mind-boggling
larsson lays on;lassoing
blatty's blotters;blts
â¨scandal is carnal;scantly
'stephen' stern;stepping
squeals squawk;yelp
krippendorf's current-affairs;grand vizier
2257 10 4;10-4
inúmeros in numerous;in-numerous
screwmacher scratcher;screamers
reitman's remains;romans
davonne diviner;done
irretocáveis eradicators;air attacks
ventriloquist's ventriloquist;star
ações aces;ages
flex tilt;tighten
teague's takes;tea eggs
calculator computer;number cruncher
reknown preknown;re nown
tadeush tads;faddish
diggit dig it;dog it
albastrã¤ alabastrine;old story
storage cache;stockpile
chestful zestful;lustful
balderson blunders on;builds on
unjustly cruelly;unjustifiably
sheathed wrap;cover
segueing continuation;shift
xiong song;zing
vandeuvres vanity press;vanity-press
questmaster postmaster;toastmaster
fabiã¡n cabin;fibbing
having' heaving;hiving
'aladdin' cladding;abaddon
barranca barrens;barren
aunjaune inguen;uncanny
marcin marconi;marching
eurydice educe;erodes
hindenburg handbook;handed back
pekar's peckers;pekoes
ciety cite;seity
condition status;case
âin akin;in
sparaga sprang;piragua
ever' eve;aver
sefa's safes;sfs
impresario's impresario;impressario
tragi tragic;drag
jackasses donkey;burro
disregarding omit;disobey
crumminess gumminess;chumminess
thepeople the peoples;commonwealth
regrettable distressing;dreadful
gambler' gamble;ambler
anitra intra;antre
gibli goblin;gobble
sedition insurrection;insubordination
cinematography'experience 
muldoon melodeon;moulding
intoxicants booze;drink
eleanora elan;plenary
ocurred incurred;cured
ironman trainman;ironing
ruminate meditate;brood
meagre eagre;merge
pornstar punster;polestar
showthread thread;shorthand
disslikes disliked;dislike
intro accustom;familiarize
retention withholding;detention
cornick cornice;dornick
pooted pitted;pitied
gherkin garlic pickle;kosher dill pickle
kumble's bumblers;fumblers
irmgard am guard;images
enormeous enamours;enormously
healthiest advantageous;aseptic
magilla macula;magical
piled mountain;pyramid
bestsellerists 
pandia pant;pend
anconina ancones;angina
intelectuais intellectual;intellectualize
dureyea drear;four eye
sohnrey snare;snore
'flapper' flipper;flappers
wook wool;woo
troche pellet;pill
aprox proxy;apron
sinatra sanitaria;intra
feodor food;fido
loafersi loafer;loaves
'devdas' deodars;deeds
egoísmo egoisms;egotism
ennobles exalt;dignify
beleaguered beset;bedevil
judge referee;court
asshole jackass;bastard
gitwisters twosuiters;got wise to
lenses' lensed;menses
twitch's twitchy;witches
rápido raped;rapids
bejo bijou;be
mazovia movie;massive
scarllett scarlets;socalled
wellsian welling;welkin
wu's u s;wuss
gillin giling;fillin
fireplaces stove;furnace
burt but;blurt
smarmiess smartass;sur mises
tng's tangos;tings
defendant prisoner;suspect
hollodeck holder;hit deck
saurmon summon;salmon
nevins nevus;nevers
mergulham mobile home;mobile-home
graves heavy;subdued
sotelo's solos;hotels
youngâ younger;conga
exteriorise exteriorities;facade
docket schedule;tally
kombinacijom 
frailty's graults;faults
thuggie thug;huge
kano llano;khan
molloys molars;motleys
maneating carnivorous;ferocious
future's futured;features
cumming's summings;cunnings
jutta jut;jute
cigars tobacco;bouquet
burmize bemuse;bruise
casue case;cas
marlon maroon;malign
middleburg saddlebag;middle
famished empty;starved
perquisite perk;gravy
extraindo extrude;extant
cristies crises;crisis
gashing laceration;incision
wooly wool;wily
sovereign autonomous;unlimited
randomness haphazardness;volatility
bio confession;journal
holodeck hit deck;holdover
lmotp limit;lamp
exsist exists;exorcist
increasingly more;more and more
mahoney money;mooney
'un'talent undulant;indolent
manager' manage;manger
renée ranee;re new
stkinks stakings;skanks
'entrapment' entrapments;liaison
kanenos canings;canoness
reflexive forced;uncontrolled
kober cobber;goober
express's expresses;ex press
haraktiristiko 
reused restate;reiterate
'franklin franklier;frankly
magkia magis;magi
chute gutter;incline
vines creeper;creeping plant
hitler`s hitler;hoteliers
gubbarre gibber;barrer
jolson close on;cloys on
souza's sizzes;somas
divider sector;category
'telephone' tele phone;tele-phone
teinowitz dimwits;tincts
fue fe;flue
parson vicar;pastor
amplifies magnify;augment
edgey edgy;edgier
complimenting congratulate;applaud
discusting dis gusting;dis-gusting
sisabled sizable;sizeable
jacinta junta;hacienda
ricki rock;ruck
harley's hales;hairless
haves upper class;bountiful
outfoxes outwit;outdo
itty ditty;kitty
ceta mammal;whopper
conehead come head;on head
naima name;maim
hulk hull;blob
austenlike satinlike;wast unlike
hypothermic hypodermic;hypo dermic
goli golf;foil
arseholing isoline;ex haling
superdoc super jock;super-jock
pallenberg plan b;plunge
swaps bandy;bargain
pullover shell;turtleneck
narasimha 
lolling sprawl;slouch
reflexion re flection;re-flection
crosse crossed;carouse
fatedly fateful;fardel
spouting gush;shoot
vandermey vendee;vender
algrant alterant;elegant
feardotcom let it come;first comer
jacqui jack;jacuzzi
florette' fretter;floweret
'disturbance' 
dejará decry;denary
harriman hurricane;harming
'quest guest;quests
grendel's crenels;grandees
japs assault;trap
robim room;rim
diversely separately;individually
apparatus gear;means
fortaleza formalize;fertilize
crescendo upsurge;escalation
ewige wig;awoke
respalda respond;re pealed
cadffefmng 
unequally unevenly;unfairly
birthings delivery;bearing
supriya spray;spry
t'aime' time;tamer
coriveau co rival;co-rival
herschman horseman;henchmen
carolla caroler;carolled
tunisian tunedin;tunes in
sasi sash;sayso
lozano llano;loon
cheapjack cheap;peacock
colleges institute;university
synths months;santas
thefilmmakers full marks;full-marks
gnosticism mysticism;rusticism
wheeee whew;where
medication assistance;drug
bargin barging;begin
playful whimsical;spirited
tadzio's taxis;tads
esquilos equals;pasquils
modernism's modernism;deviation
bruges bridges;burgees
gpss GPS;Global Positioning System
aberration peculiarity;quirk
hypnotherapy fascination;suggestion
modell motel;models
templesmith's 
dysart's daystars;desserts
ã¼berwoman other women;inner woman
laughworthy live with;self worth
temple' temples;templar
stars' stairs;sates
acerbically acrimoniously;bitingly
stickiness mugginess;wetness
757 .25;180
mauls lacerate;pummel
reasonably intelligently;fairly
l'isola lies low;loosely
himmel homely;hummed
minivans main veins;mintings
d'inspiration transpiration;desperation
spoilerswow spielers;spiles
suppose pretend;deem
kapoors cappers;kippers
gerber's goobers;geezers
idealized glorify;admire
organizer coordinator;designer
muth myth;math
crispness condensation;economy
tanga tango;tangy
unorganized untidy;chaotic
unnaturalistic unrealistic;un realistic
feature' featured;features
heavy's heavies;heavy
insightful penetrating;shrewd
sue's see as;seis
elsdon elating;closed on
alejandra legendary;all sundry
fisk's bosks;discs
withstand combat;repel
operatora operator;driver
'conquest' congest;inquest
stopover delay;pause
retroactively restrictively;retro active
scholarly erudite;learned
khans king;monarch
kuzyk muzak;junky
trodden trample;squash
iritf arid;ired
newberry nebber;newborn
'next nest;go next
everest' overeat;over set
'shoe shoer;show
cait ait;cart
abgail abigails;argil
otherâ other;the raw
traernos tearings;terrenes
'phaedra' ph.d.;hydra
entrapped entangle;seduce
attentively warily;delicately
goldeneye goldens;golden age
hellenlotter's half lights;half-lights
amerindian American Indian;Amerind
boringsongs siren songs;brings knees
surroundsound stands end;surrenderinged
'off' of;iffy
yakin yakking;akin
ferilli frilly;ferally
undeveloped underdeveloped;primitive
directivo directives;directing
betrothal engagement;vow
profuse abounding;ample
chalaang chalking;clang
legwarmers legworks;lexemes
biopics topics;biopsy
camacho's jamochas;machs
benchley benches;bench
airbus jet;aircraft
dorkknobs doorknob;darkens
corbet's gobbets;cobbers
jutsus cutises;jesus
millionaire millenary;millenaries
goodhead godheads;goahead
preen groom;tidy
hillarious hellacious;hilariously
snail's smails;snail
kubota bota;jabot
canoe dugout;kayak
cheesie cheesy;cheers
gypsie gypsies;gypsy
terashita trashing;trashest
cammy cam;chammy
scorched blister;sear
boney bony;boner
minging mingling;manging
landscaping shrubbery;garden
post' posit;poster
exonerates acquit;vindicate
paralelos parallel ofs;parallelism
terroristas terrorisms;complication
steckler stickle;steller
